gene,hotspot_freq_luad,n_luad_lines_hotspot,n_luad_lines_screened_hotspot,mean_expr_logTPM,std_expr_logTPM,n_luad_lines_expr,mean_copy_number,n_luad_lines_cn,mean_crispr_dependency,n_luad_lines_crispr_dependency,mean_crispr_effect,n_luad_lines_crispr_effect
ALK,0.0,0.0,131.0,0.4351,0.8995,83.0,1.1831,45.0,0.0588,53.0,-0.0626,53.0
ARID1A,0.0,0.0,131.0,4.9994,0.7119,83.0,0.971,45.0,0.1874,53.0,-0.1548,53.0
BRAF,0.0458,6.0,131.0,3.1849,0.5382,83.0,1.1237,45.0,0.0783,53.0,-0.0573,53.0
CDKN2A,0.0916,12.0,131.0,4.1789,3.2659,83.0,0.3953,45.0,0.0113,53.0,0.1798,53.0
EGFR,0.084,11.0,131.0,5.2771,1.5461,83.0,2.4142,45.0,0.2331,53.0,-0.2882,53.0
ERBB2,0.0076,1.0,131.0,5.3373,1.3371,83.0,1.1996,45.0,0.3001,53.0,-0.321,53.0
FGFR1,0.0,0.0,131.0,4.0929,2.0865,83.0,0.9354,45.0,0.1194,53.0,-0.0928,53.0
KEAP1,0.0687,9.0,131.0,5.5772,0.8257,83.0,0.8371,45.0,0.2594,53.0,-0.238,53.0
KRAS,0.374,49.0,131.0,4.4971,0.6903,83.0,1.3028,45.0,0.7521,53.0,-1.1395,53.0
MAP2K1,0.0153,2.0,131.0,5.8437,0.6278,83.0,1.0755,45.0,0.0945,53.0,-0.1303,53.0
MDM2,,,,4.9163,0.802,83.0,1.1357,45.0,0.4488,53.0,-0.5402,53.0
MET,0.0,0.0,131.0,6.3068,1.4406,83.0,1.5409,45.0,0.0931,53.0,-0.0725,53.0
NKX2-1,,,,2.3194,2.6865,83.0,1.3905,45.0,0.2199,53.0,-0.2157,53.0
NRAS,0.0305,4.0,131.0,5.2299,0.8275,83.0,1.0717,45.0,0.1053,53.0,-0.1504,53.0
PIK3CA,0.0382,5.0,131.0,3.4573,0.6655,83.0,1.1003,45.0,0.5063,53.0,-0.4798,53.0
PTEN,0.0,0.0,131.0,5.0658,0.6354,83.0,1.0267,45.0,0.0094,53.0,0.4328,53.0
RB1,0.0076,1.0,131.0,3.8854,0.8308,83.0,0.8263,45.0,0.0234,53.0,0.1888,53.0
ROS1,,,,0.7236,1.2055,83.0,0.9393,45.0,0.0125,53.0,0.0988,53.0
SMAD4,0.0,0.0,131.0,4.8449,0.9039,83.0,0.7943,45.0,0.0544,53.0,-0.0383,53.0
STK11,0.0763,10.0,131.0,4.2704,1.2929,83.0,0.8085,45.0,0.1538,53.0,-0.1005,53.0
TP53,0.6794,89.0,131.0,4.7772,1.3868,83.0,0.9251,45.0,0.0124,53.0,0.3459,53.0
