gene,mean_crispr_dependency,mean_crispr_effect,hotspot_freq_luad,mean_expr_logTPM
CDC27,1.0,-2.6239,,5.8435
CDC45,1.0,-2.6244,,5.3431
SNRPF,1.0,-3.233,,6.9731
SF3B5,1.0,-2.7,,6.8555
PHF5A,1.0,-2.8056,,5.9679
PCNA,1.0,-3.0713,,7.6778
SNRPA1,1.0,-3.1306,,6.6079
SNRPD1,1.0,-2.9017,,6.955
SNRPD3,1.0,-5.0054,,7.0136
SARS1,1.0,-3.0552,,6.85
SPC24,1.0,-2.6409,,4.1162
HSPE1,1.0,-3.6372,,9.7477
RPS8,1.0,-3.157,,10.2937
RPSA,1.0,-2.6459,,10.5885
RRM1,1.0,-3.211,,6.7246
FAU,1.0,-3.1115,,9.3189
ESPL1,1.0,-2.4069,,4.1896
SRSF3,1.0,-2.6518,,8.6013
RPS19,1.0,-2.8361,,10.538
RPS20,1.0,-2.8513,,10.7702
RPS23,1.0,-2.4389,,11.5544
RPS29,1.0,-2.7387,,11.5014
RPS3A,1.0,-3.0719,,10.7374
RPS6,1.0,-2.4019,,10.2057
RPS11,1.0,-2.9053,,11.0491
WDR43,1.0,-2.2991,,5.7071
RPS15,1.0,-2.1102,,9.241
RPS15A,1.0,-2.6317,,10.6285
RPL6,1.0,-2.7558,,10.1115
RPL7A,1.0,-2.6283,,10.3774
RPL8,1.0,-2.457,,10.8496
RPL3,1.0,-2.5908,,10.423
RPL31,1.0,-2.5969,,11.4358
RPL34,1.0,-2.725,,9.4309
RPL4,1.0,-2.9219,,11.3067
RPL15,1.0,-5.4831,,10.1524
RPL17,1.0,-3.8243,,10.3951
RPL18A,1.0,-2.6963,,10.0673
RPL21,1.0,-3.2117,,10.364
RPL23,1.0,-2.9598,,10.4765
RPL23A,1.0,-2.5089,,9.8625
POLR2B,1.0,-2.2989,,6.2435
EEF1A1,1.0,-2.6175,0.0,12.6811
RPL12,1.0,-2.9535,,10.3066
RPL13,1.0,-2.2314,,10.4232
DNA2,1.0,-3.2073,,3.722
TOP2A,1.0,-2.7003,,6.9651
KPNB1,1.0,-2.552,,8.0844
RAN,1.0,-4.1032,,9.5397
PUF60,1.0,-2.9076,,7.1007
LRR1,1.0,-2.5197,,4.9601
POLR2L,1.0,-2.9014,,7.6118
LSM2,1.0,-2.6173,,5.9986
DCAF13,1.0,-2.5395,,6.3745
TXNL4A,1.0,-2.6907,,6.0857
PSMA6,1.0,-3.1866,,8.7747
PSMA7,1.0,-2.4415,,8.6497
PSMB3,1.0,-3.0357,,7.966
DCAF1,1.0,-2.4347,0.0,3.5011
PRPF19,1.0,-2.653,,6.2191
PRPF38A,1.0,-2.2482,,5.0297
PSMA3,1.0,-2.8986,,7.937
PRELID1,1.0,-2.9542,,7.6033
PRIM2,1.0,-3.2795,,4.3013
CCT3,1.0,-2.5911,,8.1773
SMU1,1.0,-2.9961,,3.8401
CDK1,1.0,-2.6298,,6.7826
PLK1,0.9999,-2.7694,,6.0623
SRP54,0.9999,-2.0801,,6.2926
GINS2,0.9999,-2.3897,,3.7126
XPO1,0.9999,-2.2061,0.0,6.8356
XAB2,0.9999,-2.3856,,4.1409
RPA1,0.9999,-2.3238,,5.811
NSF,0.9999,-2.4397,,5.0003
DTL,0.9999,-2.3659,,4.672
BUD31,0.9999,-2.4946,,6.6081
RPL5,0.9999,-2.2754,,10.2816
PSMB4,0.9999,-2.311,,8.7408
SRSF7,0.9999,-2.3194,,7.4912
PSMA1,0.9999,-2.3393,,7.7061
RPS18,0.9999,-2.3256,,11.693
SF3B3,0.9999,-2.3544,,7.5136
RPL37,0.9999,-2.1508,,10.6037
RPL32,0.9999,-2.3029,,10.2547
RPL19,0.9999,-2.2182,,10.6562
SNRPD2,0.9998,-2.4242,,9.3617
RPL9,0.9998,-2.503,,9.9978
HNRNPK,0.9998,-2.4954,,8.9918
RPL11,0.9998,-2.2737,,9.9194
POLR2C,0.9998,-2.2604,,6.1434
PSMA2,0.9998,-2.4307,,7.4177
EIF2S1,0.9997,-2.2016,,8.0567
CDC123,0.9997,-2.2998,,6.8288
ERH,0.9997,-2.0514,,8.7813
RPL27,0.9997,-2.1706,,10.3384
SF1,0.9997,-2.6503,,7.5382
HSPA9,0.9997,-2.3667,,8.0533
AURKB,0.9997,-2.1652,,6.2373
POLD1,0.9997,-2.0996,,4.9076
PRPF31,0.9996,-2.1759,,6.2694
